,,,,,,,
243,Ashton Weaver,SR-4,Charleston (W.V.),05:40.2,28:11.2,,LIVE IN LOU
244,Sawyer Cripps,FR-1,Mars Hill,05:40.3,28:11.8,189,LIVE IN LOU
245,Tyler Vandierdonck,SO-2,Detroit Mercy,05:40.4,28:12.0,,LIVE IN LOU
246,Ethan Hall,JR-3,Southern Indiana,05:40.5,28:12.7,190,LIVE IN LOU
247,Brock Windham,SO-2,Freed-Hardeman,05:40.6,28:13.5,191,LIVE IN LOU
248,Alec Daniel,SR-4,Longwood,05:40.8,28:14.0,,LIVE IN LOU
249,Nick Fringer,SR-4,Detroit Mercy,05:41.0,28:15.4,,LIVE IN LOU
250,Alex Eplin,FR-1,Lawrence Tech,05:41.1,28:15.8,,LIVE IN LOU
251,Isaac Cinnamon,SO-2,SCAD Savannah,05:41.2,28:16.3,192,LIVE IN LOU
252,Charles Fuerneisen,FR-1,Mars Hill,05:41.2,28:16.4,193,LIVE IN LOU
253,Elijah Jorgensen,SO-2,Detroit Mercy,05:41.8,28:19.1,,LIVE IN LOU
254,Jackson Custer,SO-2,Murray State,05:42.3,28:21.5,,LIVE IN LOU
255,Noah Norris,FR-1,Hope,05:42.8,28:24.1,,LIVE IN LOU
256,Aiden Brzezinski,JR-3,Lawrence Tech,05:43.0,28:25.1,,LIVE IN LOU
257,Ty McPhatter,FR-1,Grace,05:43.2,28:26.1,194,LIVE IN LOU
258,Brayden Boyd,JR-3,Robert Morris,05:43.6,28:28.3,,LIVE IN LOU
259,Brandon Wright,SO-2,Mars Hill,05:44.0,28:30.0,,LIVE IN LOU
260,Smith Carter,FR-1,Cumberland (Tenn.),05:44.0,28:30.1,195,LIVE IN LOU
261,Luke Burton,JR-3,Campbellsville,05:44.4,28:32.0,,LIVE IN LOU
262,Ben Dawson,JR-3,Lawrence Tech,05:44.4,28:32.3,,LIVE IN LOU
263,Hunter Tomich,JR-3,Wheeling,05:44.5,28:32.7,,LIVE IN LOU
264,Lance Logan,FR-1,Midway,05:45.7,28:38.5,196,LIVE IN LOU
265,Gavin Ashby,FR-1,Indiana East,05:46.5,28:42.5,,LIVE IN LOU
266,Andrew Pries,SR-4,Detroit Mercy,05:46.6,28:42.9,,LIVE IN LOU
267,Riley Garrison,SO-2,Union (Tenn.),05:47.3,28:46.6,197,LIVE IN LOU
268,Kyle Robinson,SO-2,Grace,05:48.3,28:51.5,198,LIVE IN LOU
269,Noah Jinks,FR-1,Union (Tenn.),05:48.6,28:52.9,199,LIVE IN LOU
270,Matthew O'Shea,FR-1,Charleston (W.V.),05:48.6,28:53.1,,LIVE IN LOU
271,Andrew Wrenn,JR-3,Freed-Hardeman,05:48.9,28:54.5,200,LIVE IN LOU
272,Connor Byrd,SO-2,Midway,05:49.0,28:55.0,201,LIVE IN LOU
273,Luke Livingston,SR-4,Robert Morris,05:49.1,28:55.7,,LIVE IN LOU
274,Elias Harrison,SO-2,USC Upstate,05:49.2,28:56.2,,LIVE IN LOU
275,Kaden Mosely,FR-1,Union (Tenn.),05:49.4,28:56.8,202,LIVE IN LOU
276,Stewart Brown,SO-2,Union (Tenn.),05:49.5,28:57.6,,LIVE IN LOU
277,Benjamin Blackwood,JR-3,Union (Tenn.),05:50.6,29:03.0,,LIVE IN LOU
278,Gabe Klein,FR-1,Grace,05:51.1,29:05.5,203,LIVE IN LOU
279,Andrew Davis,SR-4,Southern Wesleyan,05:51.3,29:06.3,204,LIVE IN LOU
280,Landen Barron,FR-1,USC Upstate,05:51.4,29:07.1,,LIVE IN LOU
281,Joe Kadluboski,SO-2,Lansing CC,05:53.0,29:14.9,,LIVE IN LOU
282,Luke Winkleman,SO-2,Union (Tenn.),05:53.1,29:15.5,,LIVE IN LOU
283,Lucas Black,FR-1,Freed-Hardeman,05:53.2,29:16.1,,LIVE IN LOU
284,Zachary Lynch,FR-1,Campbellsville,05:53.9,29:19.6,,LIVE IN LOU
285,Jack Willenborg,FR-1,SIU Edwardsville,05:54.2,29:20.8,205,LIVE IN LOU
286,Gabe Land,FR-1,Southern Indiana,05:55.1,29:25.5,206,LIVE IN LOU
287,Tyler Rogers,SR-4,Young Harris,05:55.7,29:28.2,,LIVE IN LOU
288,Jackson Sinicropi,FR-1,Lansing CC,05:55.8,29:28.7,,LIVE IN LOU
289,Benjamin Graf,SR-4,Campbellsville,05:56.1,29:30.3,,LIVE IN LOU
290,Harrison Wealing,JR-3,Grace,05:56.1,29:30.5,,LIVE IN LOU
291,Jonathan Litscher,SO-2,Union (Tenn.),05:56.3,29:31.5,,LIVE IN LOU
292,Hudson Fisher,SO-2,Grace,05:56.4,29:31.7,,LIVE IN LOU
293,Oliver Wilgocki,FR-1,Evansville,05:56.8,29:33.6,,LIVE IN LOU
294,Joey Santoro,JR-3,Murray State,05:57.1,29:35.4,,LIVE IN LOU
295,Connor Messer,FR-1,Midway,05:57.8,29:38.8,207,LIVE IN LOU
296,Brandon Irvin,JR-3,Campbellsville,05:58.0,29:39.6,,LIVE IN LOU
297,Thomas Macagg,SR-4,Southern Wesleyan,05:59.2,29:45.7,,LIVE IN LOU
298,Tomas Rampe,SO-2,Lansing CC,06:01.6,29:57.7,,LIVE IN LOU
299,Jose Quinones,SR-4,Grace,06:03.4,30:06.8,,LIVE IN LOU
300,Aiden Dispennette,FR-1,Indiana East,06:03.6,30:07.4,,LIVE IN LOU
301,Joshua Mayhugh,FR-1,Cumberland (Tenn.),06:06.1,30:20.0,,LIVE IN LOU
302,Blake Stanton,SR-4,Charleston (W.V.),06:06.4,30:21.7,,LIVE IN LOU
303,Jay Hunt,FR-1,Freed-Hardeman,06:07.2,30:25.5,,LIVE IN LOU
304,John Locke,JR-3,Southern Wesleyan,06:07.8,30:28.4,,LIVE IN LOU
305,Max Berkey,JR-3,Cumberland (Tenn.),06:09.1,30:35.1,,LIVE IN LOU
306,Luke Schramm,SO-2,Grace,06:09.2,30:35.3,,LIVE IN LOU
307,Christian Reid,SO-2,Longwood,06:10.0,30:39.7,,LIVE IN LOU
308,William Craig,SR-4,Union (Tenn.),06:10.4,30:41.7,,LIVE IN LOU
309,Ethan Marchman,JR-3,Southern Wesleyan,06:10.6,30:42.3,,LIVE IN LOU
310,Steven Meyer,FR-1,Midway,06:11.3,30:46.0,,LIVE IN LOU
311,Walter Tanui,SR-4,Cumberland (Tenn.),06:14.4,31:01.3,,LIVE IN LOU
312,Caleb Nichols,SO-2,Grace,06:14.5,31:01.9,,LIVE IN LOU
313,Garrett Robison,FR-1,Union (Tenn.),06:15.1,31:04.6,,LIVE IN LOU
314,Grant Richardson,FR-1,Mars Hill,06:15.7,31:07.9,,LIVE IN LOU
315,Austin Wenta,JR-3,Indiana East,06:16.2,31:10.4,,LIVE IN LOU
316,Josue Avendano,SR-4,Southern Wesleyan,06:21.4,31:36.3,,LIVE IN LOU
317,Isaac Cockrell,JR-3,Midway,06:22.5,31:41.5,,LIVE IN LOU
318,Adam Higgs,SO-2,Midway,06:24.4,31:50.9,,LIVE IN LOU
319,Grant O'Neal,SO-2,Freed-Hardeman,06:25.4,31:55.8,,LIVE IN LOU
320,Kaydan Patterson,SO-2,Union (Tenn.),06:31.9,32:28.1,,LIVE IN LOU
321,Michael Keopf,FR-1,Freed-Hardeman,06:53.3,34:14.7,,LIVE IN LOU
322,Hayden Bland,FR-1,Freed-Hardeman,07:15.1,36:03.2,,LIVE IN LOU
323,Trsitan Pharr,FR-1,Freed-Hardeman,07:19.6,36:25.5,,LIVE IN LOU
0,Ethan Johnson,SO-2,Campbellsville,,DNF,,LIVE IN LOU
0,Evan Wheeler,SR-4,Lawrence Tech,,DNF,,LIVE IN LOU
0,Zachary Rubicz,FR-1,Detroit Mercy,,DNF,,LIVE IN LOU
0,Eli Combs,SR-4,Freed-Hardeman,,DNF,,LIVE IN LOU
0,Blake Smith,FR-1,Southern Indiana,,DNF,,LIVE IN LOU
0,Chris McGlynn,JR-3,Robert Morris,,DNF,,LIVE IN LOU
0,Nick Schmitz,FR-1,Murray State,,DNF,,LIVE IN LOU
0,Muhiyadin Ali,FR-1,Southern Indiana,,DNF,,LIVE IN LOU
0,Dustin Ralph,FR-1,Campbellsville,,DNF,,LIVE IN LOU
,,,,,,,LIVE IN LOU
,,,,,,,LIVE IN LOU
PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE,LIVE IN LOU
1,Joseph Skoog,Senior,Unattached,04:56.8,24:35.4,,LIVE IN LOU
2,Anthony Farmer,?,Unattached,04:58.6,24:44.4,,LIVE IN LOU
3,James Ndayishimiye,Freshman,Unattached,04:58.9,24:46.2,,LIVE IN LOU
4,Anis Abdaoui,FR-1,Vincennes,05:12.8,25:55.2,1,LIVE IN LOU
5,Luke McKenna,SO-2,Point Park,05:13.5,25:58.7,2,LIVE IN LOU
6,Felix Rivet,JR-3,Indianapolis,05:16.0,26:11.0,3,LIVE IN LOU
7,Robert Hooper,JR-3,Tennessee St.,05:18.4,26:22.7,4,LIVE IN LOU
8,Gift Mashilo,JR-3,William Carey,05:18.9,26:25.3,5,LIVE IN LOU
9,Liam LeBlanc,JR-3,Lourdes,05:20.0,26:30.8,6,LIVE IN LOU
10,Brady Tremayne,Freshman,Unattached,05:20.8,26:34.8,,LIVE IN LOU
11,Ty Blair,Freshman,Unattached,05:21.2,26:36.7,,LIVE IN LOU
12,Tom Saint-Juvin,SR-4,Indianapolis,05:21.4,26:37.7,7,LIVE IN LOU
13,Nathan Sury,SO-2,William Carey,05:21.6,26:38.7,8,LIVE IN LOU
14,Bryce Stateler,JR-3,Indiana Kokomo,05:21.8,26:40.0,9,LIVE IN LOU
15,Conyer Wilson,FR-1,Indianapolis,05:23.7,26:49.0,10,LIVE IN LOU
16,James Haggerty,Freshman,Unattached,05:23.7,26:49.2,,LIVE IN LOU
17,Jadon Muncy,Freshman,Unattached,05:25.2,26:56.6,,LIVE IN LOU
18,Grant Brown,Freshman,Unattached,05:25.5,26:58.2,,LIVE IN LOU
19,Elijah Walters,JR-3,Georgetown (Ky.),05:25.7,26:59.3,11,LIVE IN LOU
20,Diego Valdivia,SO-2,Dominican (Ill.),05:25.9,27:00.1,12,LIVE IN LOU
21,Matthew McGuire,FR-1,William Carey,05:26.5,27:03.2,13,LIVE IN LOU
22,Jonah Edwards,?,UK Run Club,05:27.2,27:06.8,14,LIVE IN LOU
23,Hudson Wallace,Junior,Unattached,05:27.5,27:08.2,,LIVE IN LOU
24,Gavin Wheat,SO-2,William Carey,05:27.5,27:08.2,15,LIVE IN LOU
25,Albin Petschauer,FR-1,Point Park,05:27.7,27:09.3,16,LIVE IN LOU
26,Marti Molins,SO-2,Lindsey Wilson,05:27.8,27:09.4,17,LIVE IN LOU
27,Ethan McCombs,SO-2,St. Clair County CC,05:28.0,27:10.8,18,LIVE IN LOU
28,Ben Perulfi,Freshman,Unattached,05:28.5,27:13.3,,LIVE IN LOU
29,Corry Mientkiewicz,SR-4,Ohio Christian,05:28.6,27:13.5,,LIVE IN LOU
30,Cody Noel,SO-2,Vincennes,05:29.6,27:18.5,19,LIVE IN LOU
31,Acer Campbell,FR-1,St. Clair County CC,05:29.8,27:19.8,20,LIVE IN LOU
32,Dawson Benjamin,FR-1,Thomas More,05:30.3,27:22.0,21,LIVE IN LOU
33,Caleb Vogl,SR-4,Indiana Kokomo,05:30.6,27:23.5,22,LIVE IN LOU
34,Zach Meixner,?,UK Run Club,05:30.6,27:23.7,23,LIVE IN LOU
35,Jannik Windelband,SR-4,Point Park,05:31.5,27:28.1,24,LIVE IN LOU
36,Blake Byer,Junior,Unattached,05:32.6,27:33.3,,LIVE IN LOU
37,Justin Stearns,SR-4,Lindsey Wilson,05:32.7,27:33.9,25,LIVE IN LOU
38,Luke Skinner,FR-1,William Carey,05:32.7,27:34.2,26,LIVE IN LOU
39,Santiago Nunez,SO-2,Lindsey Wilson,05:33.0,27:35.3,27,LIVE IN LOU
40,Dalton Nunn,SR-4,Transylvania,05:33.6,27:38.4,28,LIVE IN LOU
41,Aike Van der Lei,FR-1,Point Park,05:34.8,27:44.4,29,LIVE IN LOU
42,Wesley Preston,SR-4,Asbury,05:34.9,27:44.9,30,LIVE IN LOU
43,Harnoor Dosanjh,SR-4,Indianapolis,05:35.9,27:49.8,31,LIVE IN LOU
44,Justin Altenbach,JR-3,Lourdes,05:36.1,27:50.8,32,LIVE IN LOU
45,Josue Le Cadre,SO-2,Indianapolis,05:36.4,27:52.6,33,LIVE IN LOU
46,Nick Lanter,SR-4,Thomas More,05:36.8,27:54.2,34,LIVE IN LOU
47,Ayden Potts,FR-1,Indiana Kokomo,05:37.1,27:55.7,35,LIVE IN LOU
48,Caden Hostetler,SO-2,Vincennes,05:37.2,27:56.4,36,LIVE IN LOU
49,Jason Springer,SR-4,Ohio Christian,05:37.5,27:58.0,,LIVE IN LOU
50,Tanner Spence,SO-2,Vincennes,05:37.7,27:58.8,37,LIVE IN LOU
51,Trevor Baker,JR-3,Georgetown (Ky.),05:38.6,28:03.2,38,LIVE IN LOU
52,Alan Marshall,Freshman,Unattached,05:39.2,28:06.2,,LIVE IN LOU
53,Isaiah Kanable,SR-4,Indiana Kokomo,05:39.4,28:07.5,39,LIVE IN LOU
54,Nate Very,SR-4,Transylvania,05:39.9,28:09.9,40,LIVE IN LOU
55,Chase Bowen,FR-1,Point Park,05:40.9,28:14.7,41,LIVE IN LOU
56,Evan McElwayne,FR-1,WVU Tech,05:41.1,28:15.7,42,LIVE IN LOU
57,Jaime Favela,FR-1,Dominican (Ill.),05:41.5,28:17.8,43,LIVE IN LOU
58,Philip Berger,SO-2,Edinboro,05:41.6,28:18.1,44,LIVE IN LOU
59,Noah Miller,FR-1,Thomas More,05:41.8,28:19.1,45,LIVE IN LOU
60,Braden Wallace,?,Unattached,05:42.0,28:20.4,,LIVE IN LOU
61,Kelvin Kipsang,FR-1,Vincennes,05:42.6,28:23.0,46,LIVE IN LOU
62,Isaiah Wittenberg,FR-1,Indiana Kokomo,05:43.0,28:25.3,47,LIVE IN LOU
63,Nathan Whitehead,SO-2,Vincennes,05:43.7,28:28.6,48,LIVE IN LOU
64,Josh Gosselin,JR-3,Point Park,05:43.7,28:28.6,49,LIVE IN LOU
65,Josiah Nobles,FR-1,William Carey,05:44.2,28:31.1,50,LIVE IN LOU
66,Owen Jensen,SR-4,William Carey,05:45.3,28:36.8,51,LIVE IN LOU
67,Daniel Kersey,JR-3,Asbury,05:45.5,28:37.5,52,LIVE IN LOU
68,Aivan Vargas,FR-1,Edinboro,05:46.9,28:44.4,53,LIVE IN LOU
69,Ryan Ennis,?,UK Run Club,05:47.8,28:49.0,54,LIVE IN LOU
70,Nick Cummins,SR-4,Lindsey Wilson,05:48.3,28:51.4,55,LIVE IN LOU
71,Noah Vachon,SO-2,Indianapolis,05:48.4,28:52.3,56,LIVE IN LOU
72,Bryaun Manuel,SO-2,Vincennes,05:48.5,28:52.4,57,LIVE IN LOU
73,Luis Saldana,SR-4,Indiana Kokomo,05:48.5,28:52.5,58,LIVE IN LOU
74,Josh Rittgers,SO-2,Asbury,05:48.7,28:53.7,59,LIVE IN LOU
75,Vinny Schweihofer,FR-1,St. Clair County CC,05:49.1,28:55.4,60,LIVE IN LOU
76,Layne Clark,FR-1,Georgetown (Ky.),05:49.1,28:55.7,61,LIVE IN LOU
77,Gabe Ebersole,JR-3,Point Park,05:49.4,28:56.9,62,LIVE IN LOU
78,Jude Theriot,JR-3,Thomas More,05:49.7,28:58.4,63,LIVE IN LOU
79,Charlie Conkle,SO-2,Indiana Kokomo,05:50.3,29:01.7,64,LIVE IN LOU
80,Lance Kowalski,SO-2,St. Clair County CC,05:50.6,29:02.7,65,LIVE IN LOU
81,Carter Engle,SO-2,Thomas More,05:50.8,29:04.2,66,LIVE IN LOU
82,Steven Case,SO-2,Indiana Kokomo,05:50.9,29:04.7,,LIVE IN LOU
83,Rylan Mullins,FR-1,Vincennes,05:51.1,29:05.6,,LIVE IN LOU
84,Matthew Parsons,SO-2,Brescia,05:51.5,29:07.5,,LIVE IN LOU
85,Coleton Fisher,FR-1,Edinboro,05:51.5,29:07.7,67,LIVE IN LOU
86,Christian Saffouri,JR-3,WVU Tech,05:51.6,29:07.7,68,LIVE IN LOU
87,Will Moser,FR-1,Indianapolis,05:51.6,29:08.0,69,LIVE IN LOU
88,Luke Holton,SR-4,Asbury,05:51.7,29:08.2,70,LIVE IN LOU
89,Mitch Reveal,JR-3,Mount St. Joseph,05:51.7,29:08.6,,LIVE IN LOU
90,Logan Smith,FR-1,Oakland City,05:52.5,29:12.4,71,LIVE IN LOU
91,Tyler Chong,JR-3,Asbury,05:53.1,29:15.5,72,LIVE IN LOU
92,Elijah James,SR-4,Point Park,05:53.4,29:17.0,,LIVE IN LOU
93,Ackerly Mulcaster,FR-1,Edinboro,05:53.5,29:17.4,73,LIVE IN LOU
94,Seth Beerens,JR-3,Lourdes,05:53.9,29:19.2,74,LIVE IN LOU
95,Jonah Kiess,FR-1,Ohio Christian,05:54.3,29:21.5,,LIVE IN LOU
96,Kyle Thibideau,JR-3,Indiana Kokomo,05:54.5,29:22.4,,LIVE IN LOU
97,Aaron Myers,SO-2,Edinboro,05:54.7,29:23.5,75,LIVE IN LOU
98,Bryant Curtis,FR-1,Georgetown (Ky.),05:55.0,29:25.0,76,LIVE IN LOU
99,Andrew Lanthum,FR-1,Kaskaskia College,05:55.2,29:26.1,77,LIVE IN LOU
100,Jeremy Mendez,FR-1,Vincennes,05:55.5,29:27.3,,LIVE IN LOU
101,Jacob Bumgardner,FR-1,Indiana Kokomo,05:56.1,29:30.1,,LIVE IN LOU
102,Garrett Bartlebaugh,FR-1,Edinboro,05:56.3,29:31.2,78,LIVE IN LOU
103,Cooper Chandler,SR-4,Transylvania,05:56.4,29:31.8,79,LIVE IN LOU
104,Landon Driggers,FR-1,Asbury,05:56.5,29:32.6,80,LIVE IN LOU
105,Emerick Randolph,FR-1,Oakland City,05:56.6,29:32.7,81,LIVE IN LOU
106,Trent Glass,FR-1,St. Clair County CC,05:56.8,29:33.8,82,LIVE IN LOU
107,Gavin Hamilton,JR-3,Lourdes,05:56.9,29:34.3,83,LIVE IN LOU
108,Alex Carie,SR-4,Indiana Kokomo,05:57.0,29:34.6,,LIVE IN LOU
109,Henry Hegemann,?,UK Run Club,05:57.1,29:35.2,84,LIVE IN LOU
110,Zack McCaslin,SO-2,Lindsey Wilson,05:57.1,29:35.3,85,LIVE IN LOU
111,Aiden Westerman,FR-1,Marietta,05:57.2,29:36.0,86,LIVE IN LOU
112,Josiah Ernst,SO-2,Asbury,05:57.7,29:38.2,87,LIVE IN LOU
113,Connor Partin,SO-2,Union (Ky.),05:58.1,29:40.2,88,LIVE IN LOU
114,Eli Mayes,FR-1,Oakland City,05:58.5,29:42.1,89,LIVE IN LOU
115,Dylan Schumann,FR-1,St. Clair County CC,06:00.3,29:51.1,90,LIVE IN LOU
116,David Warner,SO-2,Thomas More,06:01.0,29:54.8,91,LIVE IN LOU
117,Jacob Newland,SR-4,Lourdes,06:01.7,29:58.3,92,LIVE IN LOU
118,Jordan Kullen,JR-3,Point Park,06:02.0,29:59.7,,LIVE IN LOU
119,Alex Taft,SO-2,Mount St. Joseph,06:02.0,29:59.8,,LIVE IN LOU
120,Joshua Maurer,FR-1,Point Park,06:02.2,30:00.5,,LIVE IN LOU
121,Hagan Schoolfield,FR-1,Transylvania,06:02.5,30:02.0,93,LIVE IN LOU
122,Curt Dahncke,FR-1,Indianapolis,06:02.7,30:02.9,,LIVE IN LOU
123,Ethan Quezada,FR-1,Edinboro,06:02.9,30:04.1,94,LIVE IN LOU
124,Julius Giller,FR-1,William Carey,06:03.3,30:06.0,,LIVE IN LOU
125,Jack Hehr,SR-4,Marietta,06:04.3,30:11.2,95,LIVE IN LOU
126,Nate Rogers,JR-3,Transylvania,06:04.7,30:13.0,96,LIVE IN LOU
127,Layton Willson,SR-4,Lourdes,06:04.7,30:13.0,97,LIVE IN LOU
128,Devin Jones,FR-1,Tennessee St.,06:05.2,30:15.8,98,LIVE IN LOU
129,Cade Curfman,SO-2,WVU Tech,06:05.3,30:16.2,99,LIVE IN LOU
130,Bryce Salgat,FR-1,Indiana Kokomo,06:05.6,30:17.5,,LIVE IN LOU
131,Riley Morris,FR-1,Georgetown (Ky.),06:06.0,30:19.8,100,LIVE IN LOU
132,Jonathon Holthaus,FR-1,Kaskaskia College,06:06.3,30:20.9,101,LIVE IN LOU
133,Gerrick Sheffer,JR-3,Brescia,06:06.7,30:22.9,,LIVE IN LOU
134,Juan Tavares-Munoz,SO-2,Dominican (Ill.),06:07.0,30:24.8,102,LIVE IN LOU
135,Adam Bennett,FR-1,WVU Tech,06:07.1,30:24.8,103,LIVE IN LOU
136,Zabrey Bortz,FR-1,Union (Ky.),06:07.8,30:28.4,104,LIVE IN LOU
137,Maddox Altman,JR-3,Lourdes,06:09.5,30:36.8,105,LIVE IN LOU
138,Gunnar Wessel,FR-1,St. Clair County CC,06:10.2,30:40.3,106,LIVE IN LOU
139,Baily Chabot,FR-1,Ohio Christian,06:10.6,30:42.6,,LIVE IN LOU
140,Isaiah Winter,?,Unattached,06:11.4,30:46.3,,LIVE IN LOU
141,Emmanuel Akpoli,SR-4,Point Park,06:12.5,30:51.6,,LIVE IN LOU
142,Samuel Whitcomb,JR-3,WVU Tech,06:14.1,30:59.8,107,LIVE IN LOU
143,Iain Ray,?,UK Run Club,06:14.7,31:02.6,108,LIVE IN LOU
144,Tyler Payne,FR-1,Union (Ky.),06:15.5,31:06.9,109,LIVE IN LOU
145,Joshua Craig,?,UK Run Club,06:16.0,31:09.4,110,LIVE IN LOU
146,Luke Haggerty,?,Unattached,06:17.6,31:17.2,,LIVE IN LOU
147,Branson Pappas,FR-1,Kaskaskia College,06:18.2,31:20.1,111,LIVE IN LOU
148,Ammon Morgan,FR-1,Oakland City,06:18.9,31:23.5,112,LIVE IN LOU
149,Kaiden Koepfler,SO-2,Lourdes,06:19.1,31:24.6,,LIVE IN LOU
150,Adrian Ocana,JR-3,Dominican (Ill.),06:19.2,31:25.3,113,LIVE IN LOU
151,Alex Garcia,JR-3,Union (Ky.),06:19.4,31:26.0,114,LIVE IN LOU
152,Jackson Rogers,Senior,UK Run Club,06:20.6,31:32.0,115,LIVE IN LOU
153,Nicholas Greer,JR-3,Brescia,06:20.7,31:32.6,,LIVE IN LOU
154,Isaiah Sanchez,FR-1,Edinboro,06:21.5,31:36.7,,LIVE IN LOU
155,Cameron Tapp,JR-3,Asbury,06:23.6,31:47.1,,LIVE IN LOU
156,Kylen Thorp,SO-2,Tennessee St.,06:23.6,31:47.2,116,LIVE IN LOU
157,Kevin Cuin,JR-3,Lindsey Wilson,06:24.2,31:50.2,117,LIVE IN LOU
158,Keaton Walker,FR-1,Indianapolis,06:25.6,31:56.8,,LIVE IN LOU
159,Alex Schmidt,SR-4,Mount St. Joseph,06:26.0,31:59.0,,LIVE IN LOU
160,Zavier Williams,FR-1,Tennessee St.,06:26.6,32:02.1,118,LIVE IN LOU
161,Matthew Fehrman,FR-1,Marietta,06:26.6,32:02.2,119,LIVE IN LOU
162,Samuel Pyle,SR-4,WVU Tech,06:27.0,32:03.7,120,LIVE IN LOU
163,Landon Marshall,JR-3,Oakland City,06:27.6,32:07.1,121,LIVE IN LOU
164,Josiah McMahan,FR-1,Georgetown (Ky.),06:28.8,32:12.9,122,LIVE IN LOU
165,Daniel Obernuefemann,SO-2,Kaskaskia College,06:29.1,32:14.7,123,LIVE IN LOU
166,Lucas Toro,FR-1,Thomas More,06:30.5,32:21.4,124,LIVE IN LOU
167,Sunny Quinn,JR-3,Tennessee St.,06:33.9,32:38.2,125,LIVE IN LOU
168,Torrean Thornton,FR-1,Union (Ky.),06:33.9,32:38.4,126,LIVE IN LOU
169,Jack Walters,FR-1,Kaskaskia College,06:35.2,32:44.7,127,LIVE IN LOU
170,Jace Cowman,SR-4,Lindsey Wilson,06:39.8,33:07.5,128,LIVE IN LOU
171,Delton White,FR-1,Tennessee St.,06:40.7,33:12.2,129,LIVE IN LOU
172,Jack Shelton,SO-2,Kaskaskia College,06:41.6,33:16.5,130,LIVE IN LOU
173,Noah Francis,JR-3,Thomas More,06:42.0,33:18.5,,LIVE IN LOU
174,Cale Webb,FR-1,Indiana Kokomo,06:44.3,33:30.2,,LIVE IN LOU
